;idequipos;modelo;area;marca;nombre_sede;categoria;fecha_registro;fecha_mant;observaciones
0;2489;codeMasterXLt;Sala IRA;HP;Sardinata;Desfibrilador;29/10/2020;11/12/2020 14:22;Funcionando correctamente
1;2489;codeMasterXLt;Sala IRA;HP;Sardinata;Desfibrilador;29/10/2020;29/04/2021 13:09;Equipo funcional
2;865;F-801C;Fisioterapia;Silver Fox;Tibú;Ultrasonido;31/01/2020;2/02/2020 9:54;Funciona correctamente 
3;865;F-801C;Fisioterapia;Silver Fox;Tibú;Ultrasonido;31/01/2020;28/06/2021 11:33;Funciona correctamente
4;6873;ADVANCE 25 LITROS;Unidad 1;StarClave;San Vicente De Paul Gramalote;Autoclave;4/06/2021;23/06/2021 10:47;Funciona correctamente
5;271;HKN-9010;Recién Nacido;Ningbo David;Pamplona;Lampara Calor Radiante;11/12/2019;20/04/2020 7:07;Equipo funcionando correctamente
6;271;HKN-9010;Recién Nacido;Ningbo David;Pamplona;Lampara Calor Radiante;11/12/2019;22/07/2020 9:09;Equipo funcionando correctamente
7;271;HKN-9010;Recién Nacido;Ningbo David;Pamplona;Lampara Calor Radiante;11/12/2019;29/10/2020 12:10;Equipo funcionando correctamente
8;271;HKN-9010;Recién Nacido;Ningbo David;Pamplona;Lampara Calor Radiante;11/12/2019;28/01/2021 9:21;Equipo funcionando correctamente
9;271;HKN-9010;Recién Nacido;Ningbo David;Pamplona;Lampara Calor Radiante;11/12/2019;29/07/2021 11:34;El equipo funciona correctamente 
10;739;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;2/02/2020 19:13;Funciona correctamente 
11;739;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;21/06/2020 16:30;Funcionando correctamente
12;739;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;22/10/2020 16:35;Funciona todo correctamente
13;739;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;26/02/2021 12:23;Funciona correctamente
14;739;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;27/06/2021 11:56;Funciona correctamente
15;740;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;2/02/2020 19:12;Sensor de piel dañado
16;740;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;21/06/2020 15:46;Funcionando correctamente
17;740;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;22/10/2020 16:27;Bombillo de iluminación al paciente quemado.
"Funciona Correctamente.""";;;;;;;;;
18;740;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;26/02/2021 12:22;Funciona correctamente
19;740;HKN-9010;Sala de Partos;Ningbo David;Tibú;Lampara Calor Radiante;24/01/2020;27/06/2021 11:57;Funciona correctamente
20;842;HKN-9010;Sala de Partos;Ningbo David;La Gabarra;Lampara Calor Radiante;29/01/2020;28/01/2021 9:16;Funciona correctamente
21;842;HKN-9010;Sala de Partos;Ningbo David;La Gabarra;Lampara Calor Radiante;29/01/2020;26/05/2021 9:17;Funciona correctamente
22;976;HKN-9010;Sala de Partos;Ningbo David;Puerto Santander;Lampara Calor Radiante;5/02/2020;30/01/2020 15:46;Funciona correctamente 
23;976;HKN-9010;Sala de Partos;Ningbo David;Puerto Santander;Lampara Calor Radiante;5/02/2020;29/05/2020 14:56;Bombillo fototerapia dañado
"Funciona correctamente """;;;;;;;;;
24;976;HKN-9010;Sala de Partos;Ningbo David;Puerto Santander;Lampara Calor Radiante;5/02/2020;25/09/2020 10:54;Bombillo de paciente dañado , requiere cambio 
25;976;HKN-9010;Sala de Partos;Ningbo David;Puerto Santander;Lampara Calor Radiante;5/02/2020;19/01/2021 11:35;Lámpara de iluminación al paciente dañada,  todas la demás funciones, correctamente
